# GeoSym line and area attributes
# GeoSym code, Feature type, Line width, Line color, Stipple pattern, Stipple factor, Fill color
#
0904,AreaPattern,,,,,#969f99
0910,AreaPattern,,,,,#c8aa50
0911,AreaPattern,,,,,#91caf3
0912,AreaPattern,,,,,#969f99
0913,AreaPattern,,,,,#a37b3a
0914,AreaPattern,,,,,#a37b3a
0915,AreaPattern,,,,,#a37b3a
0916,AreaPattern,,,,,#a37b3a
0917,AreaPattern,,,,,#ebb7ee
0919,AreaPattern,,,,,#969f99
1509,LineComplex,0.9,#000001,#fc78,1,
1511,LineComplex,0.6,#c8aa50,#fc78,1,
1512,LineComplex,0.3,#9664ff,#fc78,1,
1513,LineComplex,0.3,#e0c3b4,#fc78,1,
1516,LineComplex,0.6,#000001,#fc78,1,
