time,latitude,longitude,elevation
2009-03-21 14:33:32 +0000,35.908988,-82.771342,786.015000
2009-03-21 14:33:50 +0000,35.908800,-82.771524,783.612000
2009-03-21 14:33:55 +0000,35.908750,-82.771578,783.131000
2009-03-21 14:34:08 +0000,35.908700,-82.771738,781.689000
2009-03-21 14:34:19 +0000,35.908615,-82.771816,779.766000
2009-03-21 14:34:33 +0000,35.908442,-82.771791,780.247000
2009-03-21 14:34:40 +0000,35.908375,-82.771776,780.247000
2009-03-21 14:34:52 +0000,35.908228,-82.771817,778.805000
2009-03-21 14:35:09 +0000,35.908059,-82.771970,778.324000
2009-03-21 14:35:21 +0000,35.907923,-82.772088,777.844000
2009-03-21 14:35:33 +0000,35.907858,-82.772231,776.883000
2009-03-21 14:35:37 +0000,35.907833,-82.772273,776.402000
2009-03-21 14:35:44 +0000,35.907784,-82.772329,774.960000
2009-03-21 14:35:46 +0000,35.907765,-82.772334,775.440000
2009-03-21 14:35:53 +0000,35.907689,-82.772395,773.518000
2009-03-21 14:36:06 +0000,35.907537,-82.772376,773.999000
2009-03-21 14:36:22 +0000,35.907354,-82.772313,772.076000
2009-03-21 14:36:34 +0000,35.907242,-82.772382,771.115000
2009-03-21 14:36:44 +0000,35.907137,-82.772447,769.673000
2009-03-21 14:36:59 +0000,35.906967,-82.772442,768.231000
2009-03-21 14:37:15 +0000,35.906776,-82.772362,767.270000
2009-03-21 14:37:18 +0000,35.906743,-82.772365,767.270000
2009-03-21 14:37:27 +0000,35.906641,-82.772406,766.308000
2009-03-21 14:37:44 +0000,35.906604,-82.772670,764.385000
2009-03-21 14:38:04 +0000,35.906610,-82.772933,763.424000
2009-03-21 14:38:25 +0000,35.906574,-82.773244,761.021000
2009-03-21 14:38:44 +0000,35.906620,-82.773494,761.021000
2009-03-21 14:39:05 +0000,35.906772,-82.773681,759.579000
2009-03-21 14:39:18 +0000,35.906855,-82.773828,759.579000
2009-03-21 14:39:35 +0000,35.906935,-82.774088,759.098000
2009-03-21 14:39:36 +0000,35.906937,-82.774105,759.579000
2009-03-21 14:39:53 +0000,35.906817,-82.774343,759.098000
2009-03-21 14:40:12 +0000,35.906619,-82.774619,757.656000
2009-03-21 14:40:34 +0000,35.906459,-82.774838,755.253000
2009-03-21 14:40:49 +0000,35.906428,-82.775031,754.772000
2009-03-21 14:41:07 +0000,35.906395,-82.775275,754.292000
2009-03-21 14:41:21 +0000,35.906290,-82.775445,754.772000
2009-03-21 14:41:32 +0000,35.906224,-82.775579,752.369000
2009-03-21 14:41:48 +0000,35.906085,-82.775683,750.927000
2009-03-21 14:42:06 +0000,35.905883,-82.775647,750.447000
2009-03-21 14:42:14 +0000,35.905811,-82.775666,749.966000
2009-03-21 14:42:29 +0000,35.905643,-82.775711,749.485000
2009-03-21 14:42:45 +0000,35.905467,-82.775622,748.524000
2009-03-21 14:43:01 +0000,35.905299,-82.775559,748.043000
2009-03-21 14:43:21 +0000,35.905081,-82.775441,745.640000
2009-03-21 14:43:22 +0000,35.905069,-82.775436,745.159000
2009-03-21 14:43:41 +0000,35.904825,-82.775415,743.717000
2009-03-21 14:43:58 +0000,35.904688,-82.775575,742.275000
2009-03-21 14:44:16 +0000,35.904628,-82.775818,741.314000
2009-03-21 14:44:32 +0000,35.904482,-82.775968,740.833000
2009-03-21 14:44:48 +0000,35.904306,-82.775909,739.872000
2009-03-21 14:44:52 +0000,35.904264,-82.775908,738.911000
2009-03-21 14:45:11 +0000,35.904059,-82.776043,737.949000
2009-03-21 14:45:27 +0000,35.903980,-82.776139,737.949000
2009-03-21 14:46:01 +0000,35.903963,-82.776160,737.949000
2009-03-21 14:46:30 +0000,35.903948,-82.776209,737.949000
2009-03-21 14:46:51 +0000,35.903973,-82.776186,735.546000
2009-03-21 14:47:07 +0000,35.903947,-82.776209,736.988000
2009-03-21 14:47:26 +0000,35.903891,-82.776423,735.546000
2009-03-21 14:47:42 +0000,35.903851,-82.776604,734.585000
2009-03-21 14:47:58 +0000,35.903797,-82.776850,735.546000
2009-03-21 14:48:15 +0000,35.903813,-82.777100,735.546000
2009-03-21 14:48:21 +0000,35.903855,-82.777164,735.065000
2009-03-21 14:48:37 +0000,35.903947,-82.777346,733.623000
2009-03-21 14:48:53 +0000,35.903963,-82.777595,736.027000
2009-03-21 14:49:08 +0000,35.903991,-82.777812,735.065000
2009-03-21 14:49:25 +0000,35.904078,-82.778021,733.623000
2009-03-21 14:49:30 +0000,35.904079,-82.778087,734.104000
2009-03-21 14:49:32 +0000,35.904091,-82.778119,734.104000
2009-03-21 14:49:35 +0000,35.904092,-82.778161,734.104000
2009-03-21 14:49:38 +0000,35.904086,-82.778202,733.143000
2009-03-21 14:49:44 +0000,35.904063,-82.778276,733.623000
2009-03-21 14:49:58 +0000,35.903877,-82.778302,734.585000
